module_faculty,n_modules,mean_top_k_sim,rank_top_k_sim,median_top_k_sim,mean_breadth,rank_breadth,mean_coverage_pct,rank_coverage
Duke-NUS Medical School,3,0.6695149739583334,1,0.666748046875,4.333333333333333,12,27.13,4
NUS-ISS,15,0.6635839740435282,2,0.6614745855331421,3.066666666666667,20,40.202666666666666,1
NUS Business School,630,0.6429608451941656,3,0.640869140625,4.106349206349206,14,37.73565079365079,2
College of Design and Engineering,879,0.6344353270476453,4,0.6328125,3.901023890784983,17,19.735802047781572,7
Cont and Lifelong Education,385,0.6333553175647537,5,0.6353515386581421,3.568831168831169,19,17.820701298701298,10
Multi Disciplinary Programme,13,0.6245643038016099,6,0.623095691204071,4.076923076923077,15,18.364615384615384,9
Computing,261,0.6226656055541787,7,0.620312511920929,4.482758620689655,10,19.021532567049807,8
Yong Loo Lin Sch of Medicine,162,0.6092900045124101,8,0.60986328125,4.055555555555555,16,14.407345679012344,13
Residential College,255,0.6090517766335432,9,0.6114257574081421,4.933333333333334,5,25.802078431372546,5
Non-Faculty-based Departments,130,0.60699012027337,10,0.6128418147563934,4.453846153846154,11,29.47607692307692,3
SSH School of Public Health,33,0.6023259921507402,11,0.602343738079071,4.818181818181818,6,14.071212121212122,14
Science,799,0.6004852572728755,12,0.6017090082168579,4.7521902377972465,8,12.517722152690864,17
Law,679,0.5991969250351059,13,0.5979980230331421,3.5729013254786453,18,15.901281296023564,12
NUS,95,0.5961333252881703,14,0.592480480670929,4.810526315789474,7,20.318,6
YST Conservatory of Music,311,0.5954512942258952,15,0.5953124761581421,4.138263665594855,13,12.629453376205788,16
Dentistry,2,0.586499035358429,16,0.586499035358429,3.0,21,2.715,21
Temasek Defence Sys. Institute,1,0.5843750238418579,17,0.5843750238418579,5.0,4,10.69,19
Center for Engl Lang Comms,4,0.5843017548322678,18,0.5804198980331421,4.5,9,16.2675,11
NUS College,323,0.5829230825598395,19,0.580029308795929,5.356037151702786,2,13.36219814241486,15
Arts and Social Science,2712,0.574631241801302,20,0.5748535394668579,5.488200589970502,1,11.01210545722714,18
Yale-NUS College,923,0.5550359620239469,21,0.5589355230331421,5.351029252437703,3,5.102860238353196,20
